PERSONAJE,GLOSA
Diego de Flores,"Diego Flórez de Valdés (Asturias, 1530-1595) fue un militar español, sirvió a la armada castellana en tierras brasileñas durante parte del período en que los reinos de Portugal y España estaban bajo el gobierno de la dinastía de Habsburgo, fue responsable de la construcción de varios fortificaciones y apoyo para la conquista de nuevos territorios en Brasil."
Sotomayor,"Refiere a Alonso de Sotomayor. (Trujillo, 1545-1610). Gobernador de Chile. Eliminó la Tasa de Gamboa, que desde 1580 había decretado la abolición del servicio personal de los indígenas, a cambio de un pago de oro a los encomenderos. Sotomayor introdujo algunas reformas a la antigua Tasa de Santillán, tales como la designación de funcionarios para el control del trabajo indígena y la reducción de los castigos. Además destaco por su labor en la guerra de arauco que antes de su llegada había alcanzado niveles críticos."
"Diego Flores, Valdès","Refiere a Diego Flórez de Valdés (Asturias, 1530-1595) fue un militar español, sirvió a la armada castellana en tierras brasileñas durante parte del período en que los reinos de Portugal y España estaban bajo el gobierno de la dinastía de Habsburgo, fue responsable de la construcción de varios fortificaciones y apoyo para la conquista de nuevos territorios en Brasil."
Trugillano,Refiere a Alonso de Sotomayor.
Ingles,Refiere a Francis Drake. 
Chileño,Refiere a Alonso de Sotomayor.
Mañuà,"Refiere al cacique de la parcialidad mañue o minuanes. Estos fueron una de las parcialidades del pueblo charrúa, que habitaron zonas que actualmente se hallan en la parte central-meridional de la Región del Litoral de Argentina, la costa del río Uruguay, y ciertas zonas del actual República Oriental del Uruguay."
Mañuaes,"Refiere a los mañues o minuanes, parcialidad del pueblo charrúa, habitaron zonas que actualmente se hallan en la parte central-meridional de la Región del Litoral de Argentina, la costa del río Uruguay, y ciertas zonas del actual República Oriental del Uruguay. No se la suele distinguirse de la parcialidad guenoa, excepto por su distribución geográfica, ambos grupos son conocidos en conjunto como guinuanes, de acuerdo a varias fuentes históricas del siglo XVIII."
Valverde,"Refiere a Ana de Valverde, nacida en Oropesa, hija de Francisca Arévalo Valverde y de Pedro Guiral, oriundo de Extremadura. Sobrina del primer Obispo de Perú, Vicente de Valverde."
Ana Valverde,"Refiere a Ana de Valverde, nacida en Oropesa, hija de Francisca Arévalo Valverde y de Pedro Guiral, oriundo de Extremadura. Sobrina del primer Obispo de Perú, Vicente de Valverde. Se cree que participó en la fundación de Buenos Aires. Acompañaba a Garay cuando este murió en 1583. Para algunos historiadores podría tratarse de Ana Díaz."
Miguel Simon,"Refiere a Miguel Simón, apodado por Centenera como “El Logrosano”, viajaba con Garay en 1583 cuando falleció el fundador de Buenos Aires."
Cuevas,Refiere a Alonso de Cuevas.
Alonso de Cuevas,
Guaraní,"Guaraníes o avá, grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina (en ciertas zonas de provincias de la Región del Litoral),​ sur y suroeste de Brasil (en los estados de Río Grande del Sur, Santa Catarina, Paraná y Mato Grosso del Sur) y sureste de Bolivia (en los departamentos de Tarija, Santa Cruz y Chuquisaca) y norte de Uruguay."
Querandí,"Querandíes, sociedades nativas que los exploradores y colonos españoles hallaron en las del Río de la Plata, pero que en realidad circulaban por vastos espacios interiores que iban desde las pampas al norte de la Patagonia, las cierras centrales y la mesopotamia argentinas. Se mantenían aprovechando los recursos faunísticos, vegetales y líticos de estos territorios, utilizando modelos de explotación del medio muy flexibles."
Tupaayquà,Refiere a una mujer de la comunidad guaraní. 
Tabolia,Refiere a una mujer de la comunidad guaraní.
Yamandù,"Yamandú, cacique guaraní chandul del delta del Paraná en época de la fundación de Santa Fé, líder y estratega guaraní de las islas del delta del Tigre, en el bajo Paraná, nacido en la primera mitad del siglo XVI, que entre 1573 y 1583 coordinó la defensa del Río de la Plata frente a la invasión española. Pertenecía a los Karaí, una organización político-religiosa de origen netamente guaraní que tenía como objetivos promover la unificación pan-guaraní y representar la unión de agrupaciones de tabas (ciudades) frente a los extranjeros. A través de esta organización su influencia se extendió incluso a otras naciones aliadas como Chanás y Charrúa-minuanes además de los propios Mburuvichás o jefes locales guaraníes."
Querandelo,
Tanimbalo,"Puede que refiera a Taminibalo, anciano guaraní muy respetado. "
Tabolelo,Puede que refiera a Tabdelo. 
Yaguatatí,Cacique guaraní. 
Terù,Cacique de las islas del Rio de la Plata.Teríi
Manoncalo,Puede que refiera a Mononcalo. 
Guazuialo,"Refiere a Guayuzalóo Guaruyalo, cacique guaraní."
Chiloazas,Los quiloazas fueron un pueblo indígena que a la llegada de los primeros exploradores españoles en el siglo XVI se hallaban en la República Argentina en el centro de la provincia de Santa Fe sobre el río Paraná en torno a la laguna Setúbal.
Querandies,"Querandíes, sociedades nativas que los exploradores y colonos españoles hallaron en las del Río de la Plata, pero que en realidad circulaban por vastos espacios interiores que iban desde las pampas al norte de la Patagonia, las cierras centrales y la mesopotamia argentinas. Se mantenían aprovechando los recursos faunísticos, vegetales y líticos de estos territorios, utilizando modelos de explotación del medio muy flexibles."
Rodrigo Ortiz de Zárate,"Rodrigo Ortiz de Zárate (Valladolid, 1549 – Buenos Aires, 1606). Militar, conquistador, colonizador y burócrata colonial español, fue teniente de gobernador de Buenos Aires durante tres períodos entre 1581 y 1606, llegó a ocupar el cargo interino como gobernador rioplatense-paraguayo desde 1583 hasta 1584. "
Luna,"Podría referir a Gonzalo de Luna y Trejo, sobrino del obispo Hernando de Trejo y Sanabria, y casado con la hija de Juan de Garay, Ana de Garay y Becerra. "
Cosme,"Soldado, creería que refiere aCosme Fabian"
cacique Martin,
"Sotomayor,","Alonso de Sotomayor. (Trujillo, 1545-1610). Gobernador de Chile. Eliminó la Tasa de Gamboa, que desde 1580 había decretado la abolición del servicio personal de los indígenas, a cambio de un pago de oro a los encomenderos. Sotomayor introdujo algunas reformas a la antigua Tasa de Santillán, tales como la designación de funcionarios para el control del trabajo indígena y la reducción de los castigos. Además destaco por su labor en la guerra de arauco que antes de su llegada había alcanzado niveles críticos."
Arcila,"Refiere aAlonso de Ercilla y Zúñiga[1533-1594]. Entre los 21 y 29 años intervino en campañas en Lima y Panamá, regresó a España en 1563, y publicó en 1569 la primera parte de su gran obra, dedicada a Felipe II, el poema a Araucana, donde relató la conquista de Chile."
Ibitupuá,Cacique
Toledo,"Francisco Álvarez de Toledo (1515-1582), quinto Virrey del Perú entre 1569 y 1581"
Diego,"Refiere a Diego de Mendoza (Asunción, 1540 – Potosí, 1571), conquistador y colonizador español, hijo del gobernador de Asunción Francisco Mendoza y de María de Angulo. Hermano de Elvira de Mendoza, quien fue esposa de Ñuflo de Chaves. Su esposa fue Ana de la Torre, sobrina del obispo del Paraguay. Ejecutado por orden del virrey Toledo."
Condurillo,Cacique
Tabobá,Cacique
Marucaré,Cacique
Ibitupue,Cacique
Maria de Angulo,"María de Angulo, hija deJuan Manrique de Lara, acompaña a su padre en la expedición dePedro de Mendoza al Río de la Plata, yfundaron Buenos Aires el 3 de febrero de 1536. Contrae matrimonio conFrancisco de Mendoza (sin parentesco con Pedro de Mendoza), tuvieron como hijos a Diego, a finales del año 1538, luego a Elvira, Juana, María y Francisco. Ya en Asunción, en 1544 asesinan a su esposo. En 1583 con su familia se embarcan en una expedición desde Lima hasta Santa Cruz pasando por Ayacucho, Cusco, La Paz, Cochamamba y Sucre. La expedición fue atacada por los chiringuanos cerca de Santa Cruz. María de Angulo falleció a los 65 años de edad debido a una flecha."
Elvira,"Hija de Francisco de Mendoza, ajusticiado en Asunción en 1547, y de María Angulo, mujer de gran carácter. Hermana de Diego y Francisco de Mendoza; cuñada del capitán Hernando de Salazar, uno de los fundadores de Santa Cruz y primer presidente del Cabildo del 5 de mayo de 1561, mujer de Nufrio, Nuflo o Ñuflo de Chaves -de las tres formas se le nombra- en 1550. Tuvieron cinco hijos: María, Catalina y Elvira -ambas monjas- Francisco y Álvaro, ambos soldados. A la muerte de su hermano Diego, gobernador de Mojos y Chiquitos, Doña Elvira fue desterrada y despojada de sus bienes, hasta que los servicios de Ñuflo de Chaves fueron reconocidos por el Rey y por la Audiencia de Lima en 1577, decretando el pago de una renta a Doña Elvira y a sus hijos. Vivió en Santa Cruz de la Sierra tras su fundación por su marido en 1564. Quedó viuda en 1568. Cuando viajaba de Lima a Santa Cruz en 1583, sufrió una emboscada en Jorochito. Pudo apaciguar a los indios ya que hablaba guaraní, aunque en ella murió su madre y fue herida su hija Elvira."
Chiriguana,"Chiriguanos, grupo de lengua Tupí-Guaraní, desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica milpa amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron, algunas crónicas indican que debido en una sistemática antropofagia."
Hernando Salazar,"Refiere a Hernando de Salazar (Granada, 1518 – El Chaco-Bolivia, 1590). Conquistador, expedicionario.Se embarcó hacia el Río de La Plata en 1549, en la expedición de Diego de Sanabria, alcanzando la costa brasileña. Allí recorrieron los territorios entre Brasil y Asunción, cruzando la selva paraguaya. Arribó a Asunción en 1552, donde conoció a Nuflo Chaves. Ambos partieron de Asunción en febrero de 1558, remontaron el Río de La Plata hacia el norte, recorriendo el Chaco y Bolivia. El 1 de agosto de 1559 fundaron Nueva Asunción en la margen derecha del río Guapay o Río Grande. El 26 de febrero de 1561, Salazar participó en la fundación de Santa Cruz de la Sierra, siendo nombrado su alguacil mayor."
Mendoza,"Refiere a Diego de Mendoza (Asunción, 1540 – Potosí, 1571), conquistador y colonizador español, hijo del gobernador de Asunción Francisco Mendoza y de María de Angulo. Hermano de Elvira de Mendoza, quien fue esposa de Ñuflo de Chaves. Su esposa fue Ana de la Torre, sobrina del obispo del Paraguay. Ejecutado por orden del virrey Toledo."
Nuflo de Chaves,"Ñuflo de Chaves nació en Santa Cruz de la Sierra, de Extremadura, en 1518. Llegó a territorio americano con el segundo adelantado del Río de la Plata, Alvar Núñez Cabeza de Vaca. Cuando la flota llega al puerto de Santa Catalina en el año 1541, ya ostentaba el grado de Capitán. Cuando el gobernador Martínez de Irala le encomienda fundar al norte de Asunción, Chaves se convierte así en General. El 26 de febrero de 1561 fundó Santa Cruz de la Sierra a orillas del arroyo Sutó. Después de fundada Santa Cruz de la Sierra, Ñuflo de Chaves se dirige a Asunción, en 1564, para recoger a su familia. En 1550 se había casado con Doña Elvira Manrique, hija de don Francisco de Mendoza, gobernador del Río de la Plata, con quien tuvo cinco hijos: Francisco y Alvaro, ambos militares; María, Catalina y Elvira; las dos menores monjas y la mayor se casó en 1574 con un soldado de apellido Ossorio. El nieto de Ñuflo, Cap. Francisco Ossorio de Chaves, estuvo como Alcalde durante la traslación de la ciudad, hasta su asiento definitivo a orillas del Piraí (1621)."
Chiriguanos,"Chiriguanos, grupo de lengua Tupí-Guaraní, desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica milpa amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron, algunas crónicas indican que debido en una sistemática antropofagia."
Salazar,"Refiere a Hernando de Salazar (Granada, 1518 – El Chaco-Bolivia, 1590). Conquistador, expedicionario. Se embarcó hacia el Río de La Plata en 1549, en la expedición de Diego de Sanabria, alcanzando la costa brasileña. Allí recorrieron los territorios entre Brasil y Asunción, cruzando la selva paraguaya. Arribó a Asunción en 1552, donde conoció a Nuflo Chaves. Ambos partieron de Asunción en febrero de 1558, remontaron el Río de La Plata hacia el norte, recorriendo el Chaco y Bolivia. El 1 de agosto de 1559 fundaron Nueva Asunción en la margen derecha del río Guapay o Río Grande. El 26 de febrero de 1561, Salazar participó en la fundación de Santa Cruz de la Sierra, siendo nombrado su alguacil mayor."
Chiriguanas,"Chiriguanos, grupo de lengua Tupí-Guaraní, desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica milpa amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron, algunas crónicas indican que debido en una sistemática antropofagia."
